,acquisition_date,acquisitions
183,2019-12-31,7
184,2019-12-30,10
185,2019-12-29,9
186,2019-12-28,15
187,2019-12-27,6
188,2019-12-26,5
189,2019-12-25,11
190,2019-12-24,14
191,2019-12-23,11
192,2019-12-22,11
193,2019-12-21,13
194,2019-12-20,8
195,2019-12-19,5
196,2019-12-18,7
197,2019-12-17,10
198,2019-12-16,16
199,2019-12-15,13
200,2019-12-14,13
201,2019-12-13,12
202,2019-12-12,6
203,2019-12-11,13
204,2019-12-10,9
205,2019-12-09,11
206,2019-12-08,8
207,2019-12-07,9
208,2019-12-06,11
209,2019-12-05,11
210,2019-12-04,9
211,2019-12-03,13
212,2019-12-02,4
213,2019-12-01,16
214,2019-11-30,6
215,2019-11-29,8
216,2019-11-28,14
217,2019-11-27,14
218,2019-11-26,6
219,2019-11-25,10
220,2019-11-24,9
221,2019-11-23,3
222,2019-11-22,8
223,2019-11-21,11
224,2019-11-20,13
225,2019-11-19,9
226,2019-11-18,13
227,2019-11-17,13
228,2019-11-16,14
229,2019-11-15,6
230,2019-11-14,13
231,2019-11-13,14
232,2019-11-12,3
233,2019-11-11,6
234,2019-11-10,13
235,2019-11-09,12
236,2019-11-08,12
237,2019-11-07,9
238,2019-11-06,4
239,2019-11-05,8
240,2019-11-04,13
241,2019-11-03,6
242,2019-11-02,5
243,2019-11-01,5
244,2019-10-31,7
245,2019-10-30,11
246,2019-10-29,15
247,2019-10-28,7
248,2019-10-27,16
249,2019-10-26,11
250,2019-10-25,3
251,2019-10-24,8
252,2019-10-23,11
253,2019-10-22,10
254,2019-10-21,16
255,2019-10-20,9
256,2019-10-19,11
257,2019-10-18,9
258,2019-10-17,10
259,2019-10-16,10
260,2019-10-15,8
261,2019-10-14,9
262,2019-10-13,9
263,2019-10-12,10
264,2019-10-11,14
265,2019-10-10,3
266,2019-10-09,11
267,2019-10-08,13
268,2019-10-07,7
269,2019-10-06,13
270,2019-10-05,13
271,2019-10-04,6
272,2019-10-03,8
273,2019-10-02,5
274,2019-10-01,7
275,2019-09-30,6
276,2019-09-29,8
277,2019-09-28,7
278,2019-09-27,12
279,2019-09-26,16
280,2019-09-25,13
281,2019-09-24,9
282,2019-09-23,11
283,2019-09-22,11
284,2019-09-21,11
285,2019-09-20,13
286,2019-09-19,15
287,2019-09-18,8
288,2019-09-17,9
289,2019-09-16,6
290,2019-09-15,9
291,2019-09-14,6
292,2019-09-13,6
293,2019-09-12,8
294,2019-09-11,12
295,2019-09-10,11
296,2019-09-09,6
297,2019-09-08,14
298,2019-09-07,10
299,2019-09-06,11
300,2019-09-05,7
301,2019-09-04,8
302,2019-09-03,11
303,2019-09-02,15
304,2019-09-01,10
305,2019-08-31,7
306,2019-08-30,8
307,2019-08-29,9
308,2019-08-28,8
309,2019-08-27,6
310,2019-08-26,8
311,2019-08-25,7
312,2019-08-24,7
313,2019-08-23,12
314,2019-08-22,11
315,2019-08-21,8
316,2019-08-20,15
317,2019-08-19,7
318,2019-08-18,6
319,2019-08-17,7
320,2019-08-16,8
321,2019-08-15,6
322,2019-08-14,14
323,2019-08-13,7
324,2019-08-12,6
325,2019-08-11,10
326,2019-08-10,16
327,2019-08-09,9
328,2019-08-08,10
329,2019-08-07,9
330,2019-08-06,8
331,2019-08-05,11
332,2019-08-04,13
333,2019-08-03,9
334,2019-08-02,10
335,2019-08-01,10
336,2019-07-31,8
337,2019-07-30,10
338,2019-07-29,11
339,2019-07-28,11
340,2019-07-27,8
341,2019-07-26,10
342,2019-07-25,7
343,2019-07-24,8
344,2019-07-23,9
345,2019-07-22,11
346,2019-07-21,5
347,2019-07-20,10
348,2019-07-19,6
349,2019-07-18,10
350,2019-07-17,8
351,2019-07-15,12
352,2019-07-14,13
353,2019-07-13,4
354,2019-07-12,9
355,2019-07-11,14
356,2019-07-10,7
357,2019-07-09,14
358,2019-07-08,8
359,2019-07-07,7
360,2019-07-06,12
361,2019-07-05,8
362,2019-07-04,11
363,2019-07-03,7
364,2019-07-02,12
365,2019-07-01,7
366,2019-06-30,5
367,2019-06-29,11
368,2019-06-28,10
369,2019-06-27,9
370,2019-06-26,4
371,2019-06-25,4
372,2019-06-24,8
373,2019-06-23,11
374,2019-06-22,6
375,2019-06-21,13
376,2019-06-20,4
377,2019-06-19,12
378,2019-06-18,7
379,2019-06-17,15
380,2019-06-16,15
381,2019-06-15,7
382,2019-06-14,10
383,2019-06-13,8
384,2019-06-12,14
385,2019-06-11,12
386,2019-06-10,10
387,2019-06-09,12
388,2019-06-08,6
389,2019-06-07,7
390,2019-06-06,7
391,2019-06-05,9
392,2019-06-04,16
393,2019-06-03,9
394,2019-06-02,6
395,2019-06-01,6
396,2019-05-31,11
397,2019-05-30,9
398,2019-05-29,12
399,2019-05-28,9
400,2019-05-27,4
401,2019-05-26,8
402,2019-05-25,6
403,2019-05-24,9
404,2019-05-23,5
405,2019-05-22,4
406,2019-05-21,7
407,2019-05-20,10
408,2019-05-19,5
409,2019-05-18,5
410,2019-05-17,8
411,2019-05-16,9
412,2019-05-15,9
413,2019-05-14,5
414,2019-05-13,13
415,2019-05-12,6
416,2019-05-11,15
417,2019-05-10,6
418,2019-05-09,7
419,2019-05-08,8
420,2019-05-07,10
421,2019-05-06,5
422,2019-05-05,7
423,2019-05-04,17
424,2019-05-03,6
425,2019-05-02,9
426,2019-05-01,3
427,2019-04-30,10
428,2019-04-29,11
429,2019-04-28,9
430,2019-04-27,6
431,2019-04-26,9
432,2019-04-25,12
433,2019-04-24,12
434,2019-04-23,8
435,2019-04-22,8
436,2019-04-21,11
437,2019-04-20,6
438,2019-04-19,6
439,2019-04-18,7
440,2019-04-17,10
441,2019-04-16,16
442,2019-04-15,8
443,2019-04-14,8
444,2019-04-13,8
445,2019-04-12,12
446,2019-04-11,3
447,2019-04-10,8
448,2019-04-09,7
449,2019-04-08,8
450,2019-04-07,13
451,2019-04-06,9
452,2019-04-05,9
453,2019-04-04,7
454,2019-04-03,10
455,2019-04-02,11
456,2019-04-01,10
457,2019-03-31,9
458,2019-03-30,10
459,2019-03-29,12
460,2019-03-28,15
461,2019-03-27,5
462,2019-03-26,5
463,2019-03-25,11
464,2019-03-24,12
465,2019-03-23,11
466,2019-03-22,12
467,2019-03-21,8
468,2019-03-20,8
469,2019-03-19,6
470,2019-03-18,7
471,2019-03-17,13
472,2019-03-16,12
473,2019-03-15,5
474,2019-03-14,14
475,2019-03-13,6
476,2019-03-12,13
477,2019-03-11,9
478,2019-03-10,14
479,2019-03-09,13
480,2019-03-08,4
481,2019-03-07,5
482,2019-03-06,7
483,2019-03-05,11
484,2019-03-04,9
485,2019-03-03,9
486,2019-03-02,14
487,2019-03-01,8
488,2019-02-28,9
489,2019-02-27,11
490,2019-02-26,12
491,2019-02-25,8
492,2019-02-24,11
493,2019-02-23,5
494,2019-02-22,9
495,2019-02-21,9
496,2019-02-20,11
497,2019-02-19,8
498,2019-02-18,12
499,2019-02-17,10
500,2019-02-16,7
501,2019-02-15,10
502,2019-02-14,15
503,2019-02-13,10
504,2019-02-12,7
505,2019-02-11,11
506,2019-02-10,6
507,2019-02-09,6
508,2019-02-08,13
509,2019-02-07,11
510,2019-02-06,14
511,2019-02-05,10
512,2019-02-04,10
513,2019-02-03,5
514,2019-02-02,8
515,2019-02-01,13
516,2019-01-31,15
517,2019-01-30,12
518,2019-01-29,4
519,2019-01-28,10
520,2019-01-27,9
521,2019-01-26,12
522,2019-01-25,10
523,2019-01-24,12
524,2019-01-23,8
525,2019-01-22,8
526,2019-01-21,11
527,2019-01-20,5
528,2019-01-19,8
529,2019-01-18,11
530,2019-01-17,9
531,2019-01-16,8
532,2019-01-15,12
533,2019-01-14,9
534,2019-01-13,11
535,2019-01-12,12
536,2019-01-11,6
537,2019-01-10,8
538,2019-01-09,8
539,2019-01-08,9
540,2019-01-07,6
541,2019-01-06,9
542,2019-01-05,5
543,2019-01-04,14
544,2019-01-03,9
545,2019-01-02,7
546,2019-01-01,10
547,2018-12-31,10
548,2018-12-30,9
549,2018-12-29,15
550,2018-12-28,6
551,2018-12-27,8
552,2018-12-26,5
553,2018-12-25,7
554,2018-12-24,12
555,2018-12-23,5
556,2018-12-22,12
557,2018-12-21,6
558,2018-12-20,5
559,2018-12-19,8
560,2018-12-18,9
561,2018-12-17,6
562,2018-12-16,6
563,2018-12-15,9
564,2018-12-14,10
565,2018-12-13,10
566,2018-12-12,5
567,2018-12-11,8
568,2018-12-10,11
569,2018-12-09,8
570,2018-12-08,13
571,2018-12-07,12
572,2018-12-06,4
573,2018-12-05,7
574,2018-12-04,7
575,2018-12-03,10
576,2018-12-02,9
577,2018-12-01,9
578,2018-11-30,8
579,2018-11-29,8
580,2018-11-28,6
581,2018-11-27,5
582,2018-11-26,16
583,2018-11-25,6
584,2018-11-24,5
585,2018-11-23,9
586,2018-11-22,7
587,2018-11-21,13
588,2018-11-20,9
589,2018-11-19,9
590,2018-11-18,16
591,2018-11-17,12
592,2018-11-16,7
593,2018-11-15,8
594,2018-11-14,6
595,2018-11-13,13
596,2018-11-12,7
597,2018-11-11,12
598,2018-11-10,11
599,2018-11-09,4
600,2018-11-08,12
601,2018-11-07,9
602,2018-11-06,4
603,2018-11-05,9
604,2018-11-04,9
605,2018-11-03,6
606,2018-11-02,10
607,2018-11-01,8
608,2018-10-31,9
609,2018-10-30,7
610,2018-10-29,7
611,2018-10-28,12
612,2018-10-27,10
613,2018-10-26,10
614,2018-10-25,10
615,2018-10-24,9
616,2018-10-23,8
617,2018-10-22,10
618,2018-10-21,6
619,2018-10-20,7
620,2018-10-19,10
621,2018-10-18,5
622,2018-10-17,10
623,2018-10-16,18
624,2018-10-15,9
625,2018-10-14,9
626,2018-10-13,14
627,2018-10-12,10
628,2018-10-11,10
629,2018-10-10,8
630,2018-10-09,10
631,2018-10-08,10
632,2018-10-07,6
633,2018-10-06,6
634,2018-10-05,8
635,2018-10-04,9
636,2018-10-03,10
637,2018-10-02,7
638,2018-10-01,8
639,2018-09-30,6
640,2018-09-29,10
641,2018-09-28,7
642,2018-09-27,10
643,2018-09-26,6
644,2018-09-25,9
645,2018-09-24,12
646,2018-09-23,8
647,2018-09-22,16
648,2018-09-21,10
649,2018-09-20,7
650,2018-09-19,8
651,2018-09-18,12
652,2018-09-17,5
653,2018-09-16,10
654,2018-09-15,18
655,2018-09-14,6
656,2018-09-13,13
657,2018-09-12,5
658,2018-09-11,14
659,2018-09-10,6
660,2018-09-09,10
661,2018-09-08,9
662,2018-09-07,6
663,2018-09-06,15
664,2018-09-05,8
665,2018-09-04,11
666,2018-09-03,10
667,2018-09-02,7
668,2018-09-01,7
669,2018-08-31,8
670,2018-08-30,10
671,2018-08-29,9
672,2018-08-28,9
673,2018-08-27,7
674,2018-08-26,10
675,2018-08-25,9
676,2018-08-24,10
677,2018-08-23,11
678,2018-08-22,5
679,2018-08-21,10
680,2018-08-20,6
681,2018-08-19,12
682,2018-08-18,12
683,2018-08-17,10
684,2018-08-16,8
685,2018-08-15,13
686,2018-08-14,6
687,2018-08-13,8
688,2018-08-12,11
689,2018-08-11,3
690,2018-08-10,7
691,2018-08-09,5
692,2018-08-08,14
693,2018-08-07,9
694,2018-08-06,5
695,2018-08-05,8
696,2018-08-04,8
697,2018-08-03,6
698,2018-08-02,6
699,2018-08-01,7
700,2018-07-31,8
701,2018-07-30,9
702,2018-07-29,9
703,2018-07-28,12
704,2018-07-27,9
705,2018-07-26,16
706,2018-07-25,7
707,2018-07-24,5
708,2018-07-23,12
709,2018-07-22,9
710,2018-07-21,6
711,2018-07-20,11
712,2018-07-19,5
713,2018-07-18,3
714,2018-07-17,7
715,2018-07-16,7
716,2018-07-15,8
717,2018-07-14,7
718,2018-07-13,11
719,2018-07-12,10
720,2018-07-11,12
721,2018-07-10,10
722,2018-07-09,8
723,2018-07-08,11
724,2018-07-07,10
725,2018-07-06,14
726,2018-07-05,7
727,2018-07-04,5
728,2018-07-03,6
729,2018-07-02,14
730,2018-07-01,18
731,2018-06-30,5
732,2018-06-29,11
733,2018-06-28,12
734,2018-06-27,19
735,2018-06-26,17
736,2018-06-25,8
737,2018-06-24,7
738,2018-06-23,14
739,2018-06-22,12
740,2018-06-21,11
741,2018-06-20,10
742,2018-06-19,11
743,2018-06-18,11
744,2018-06-17,10
745,2018-06-16,6
746,2018-06-15,8
747,2018-06-14,10
748,2018-06-13,5
749,2018-06-12,10
750,2018-06-11,8
751,2018-06-10,18
752,2018-06-09,9
753,2018-06-08,12
754,2018-06-07,7
755,2018-06-06,10
756,2018-06-05,8
757,2018-06-04,9
758,2018-06-03,6
759,2018-06-01,8
760,2018-05-31,9
761,2018-05-30,12
762,2018-05-29,10
763,2018-05-28,12
764,2018-05-27,8
765,2018-05-26,9
766,2018-05-25,6
767,2018-05-24,10
768,2018-05-23,10
769,2018-05-22,10
770,2018-05-21,9
771,2018-05-20,9
772,2018-05-19,6
773,2018-05-18,6
774,2018-05-17,12
775,2018-05-16,14
776,2018-05-15,11
777,2018-05-14,7
778,2018-05-13,17
779,2018-05-12,6
780,2018-05-11,10
781,2018-05-10,5
782,2018-05-09,8
783,2018-05-08,7
784,2018-05-07,12
785,2018-05-06,9
786,2018-05-05,7
787,2018-05-04,11
788,2018-05-03,10
789,2018-05-02,15
790,2018-05-01,13
791,2018-04-30,6
792,2018-04-29,4
793,2018-04-28,17
794,2018-04-27,10
795,2018-04-26,14
796,2018-04-25,8
797,2018-04-24,8
798,2018-04-23,9
799,2018-04-22,12
800,2018-04-21,9
801,2018-04-20,9
802,2018-04-19,9
803,2018-04-18,11
804,2018-04-17,12
805,2018-04-16,11
806,2018-04-15,15
807,2018-04-14,10
808,2018-04-13,8
809,2018-04-12,7
810,2018-04-11,11
811,2018-04-10,7
812,2018-04-09,10
813,2018-04-08,7
814,2018-04-07,12
815,2018-04-06,4
816,2018-04-05,7
817,2018-04-04,8
818,2018-04-03,8
819,2018-04-02,13
820,2018-04-01,9
821,2018-03-31,10
822,2018-03-30,5
823,2018-03-29,14
824,2018-03-28,11
825,2018-03-27,7
826,2018-03-26,8
827,2018-03-25,9
828,2018-03-24,14
829,2018-03-23,9
830,2018-03-22,5
831,2018-03-21,5
832,2018-03-20,12
833,2018-03-19,15
834,2018-03-18,8
835,2018-03-17,4
836,2018-03-16,9
837,2018-03-15,10
838,2018-03-14,4
839,2018-03-13,10
840,2018-03-12,7
841,2018-03-11,10
842,2018-03-10,6
843,2018-03-09,7
844,2018-03-08,13
845,2018-03-07,14
846,2018-03-06,8
847,2018-03-05,14
848,2018-03-04,4
849,2018-03-03,7
850,2018-03-02,15
851,2018-03-01,13
852,2018-02-28,14
853,2018-02-27,11
854,2018-02-26,9
855,2018-02-25,6
856,2018-02-24,9
857,2018-02-23,11
858,2018-02-22,6
859,2018-02-21,16
860,2018-02-20,19
861,2018-02-19,10
862,2018-02-18,10
863,2018-02-17,13
864,2018-02-16,19
865,2018-02-15,7
866,2018-02-14,12
867,2018-02-13,8
868,2018-02-12,7
869,2018-02-11,7
870,2018-02-10,9
871,2018-02-09,4
872,2018-02-08,6
873,2018-02-07,9
874,2018-02-06,12
875,2018-02-05,12
876,2018-02-04,12
877,2018-02-03,10
878,2018-02-02,9
879,2018-02-01,15
880,2018-01-31,11
881,2018-01-30,11
882,2018-01-29,10
883,2018-01-28,11
884,2018-01-27,8
885,2018-01-26,9
886,2018-01-25,8
887,2018-01-24,5
888,2018-01-23,10
889,2018-01-22,19
890,2018-01-21,6
891,2018-01-20,8
892,2018-01-19,8
893,2018-01-18,8
894,2018-01-17,10
895,2018-01-16,4
896,2018-01-15,11
897,2018-01-14,4
898,2018-01-13,9
899,2018-01-12,8
900,2018-01-11,9
901,2018-01-10,10
902,2018-01-09,12
903,2018-01-08,13
904,2018-01-07,12
905,2018-01-06,16
906,2018-01-05,11
907,2018-01-04,15
908,2018-01-03,11
909,2018-01-02,9
910,2018-01-01,10
911,2017-12-31,16
912,2017-12-30,8
913,2017-12-29,8
914,2017-12-28,12
915,2017-12-27,10
916,2017-12-26,14
917,2017-12-25,7
918,2017-12-24,12
919,2017-12-23,13
920,2017-12-22,6
921,2017-12-21,9
922,2017-12-20,11
923,2017-12-19,9
924,2017-12-18,14
925,2017-12-17,6
926,2017-12-16,8
927,2017-12-15,17
928,2017-12-14,10
929,2017-12-13,11
930,2017-12-12,14
931,2017-12-11,8
932,2017-12-10,12
933,2017-12-09,8
934,2017-12-08,12
935,2017-12-07,5
936,2017-12-06,3
937,2017-12-05,6
938,2017-12-04,6
939,2017-12-03,10
940,2017-12-02,10
941,2017-12-01,8
942,2017-11-30,15
943,2017-11-29,9
944,2017-11-28,6
945,2017-11-27,10
946,2017-11-26,14
947,2017-11-25,13
948,2017-11-24,4
949,2017-11-23,13
950,2017-11-22,13
951,2017-11-21,6
952,2017-11-20,7
953,2017-11-19,7
954,2017-11-18,5
955,2017-11-17,10
956,2017-11-16,5
957,2017-11-15,12
958,2017-11-14,13
959,2017-11-13,12
960,2017-11-12,13
961,2017-11-11,15
962,2017-11-10,11
963,2017-11-09,9
964,2017-11-08,9
965,2017-11-07,14
966,2017-11-06,13
967,2017-11-05,4
968,2017-11-04,7
969,2017-11-03,7
970,2017-11-02,11
971,2017-11-01,5
972,2017-10-31,4
973,2017-10-30,8
974,2017-10-29,11
975,2017-10-28,12
976,2017-10-27,10
977,2017-10-26,5
978,2017-10-25,5
979,2017-10-24,11
980,2017-10-23,12
981,2017-10-22,11
982,2017-10-21,11
983,2017-10-20,16
984,2017-10-19,13
985,2017-10-18,9
986,2017-10-17,15
987,2017-10-16,9
988,2017-10-15,9
989,2017-10-14,14
990,2017-10-13,11
991,2017-10-12,14
992,2017-10-11,13
993,2017-10-10,6
994,2017-10-09,14
995,2017-10-08,8
996,2017-10-07,12
997,2017-10-06,10
998,2017-10-05,9
999,2017-10-04,11
1000,2017-10-03,12
1001,2017-10-02,11
1002,2017-10-01,8
1003,2017-09-30,9
1004,2017-09-29,9
1005,2017-09-28,14
1006,2017-09-27,11
1007,2017-09-26,7
1008,2017-09-25,10
1009,2017-09-24,9
1010,2017-09-23,8
1011,2017-09-22,6
1012,2017-09-21,7
1013,2017-09-20,13
1014,2017-09-19,9
1015,2017-09-18,4
1016,2017-09-17,8
1017,2017-09-16,9
1018,2017-09-15,14
1019,2017-09-14,5
1020,2017-09-13,8
1021,2017-09-12,4
1022,2017-09-11,5
1023,2017-09-10,10
1024,2017-09-09,12
1025,2017-09-08,9
1026,2017-09-07,13
1027,2017-09-06,8
1028,2017-09-05,6
1029,2017-09-04,8
1030,2017-09-03,8
1031,2017-09-02,5
1032,2017-09-01,14
1033,2017-08-31,11
1034,2017-08-30,12
1035,2017-08-29,19
1036,2017-08-28,13
1037,2017-08-27,12
1038,2017-08-26,13
1039,2017-08-25,8
1040,2017-08-24,8
1041,2017-08-23,11
1042,2017-08-22,6
1043,2017-08-21,9
1044,2017-08-20,9
1045,2017-08-19,9
1046,2017-08-18,16
1047,2017-08-17,7
1048,2017-08-16,10
1049,2017-08-15,15
1050,2017-08-14,16
1051,2017-08-13,10
1052,2017-08-12,12
1053,2017-08-11,7
1054,2017-08-10,7
1055,2017-08-09,9
1056,2017-08-08,6
1057,2017-08-07,10
1058,2017-08-06,12
1059,2017-08-05,11
1060,2017-08-04,6
1061,2017-08-03,12
1062,2017-08-02,7
1063,2017-08-01,11
1064,2017-07-31,6
1065,2017-07-30,12
1066,2017-07-29,8
1067,2017-07-28,7
1068,2017-07-27,8
1069,2017-07-26,8
1070,2017-07-25,12
1071,2017-07-24,6
1072,2017-07-23,10
1073,2017-07-22,7
1074,2017-07-21,5
1075,2017-07-20,7
1076,2017-07-19,9
1077,2017-07-18,8
1078,2017-07-17,11
1079,2017-07-16,8
1080,2017-07-15,9
1081,2017-07-14,8
1082,2017-07-13,7
1083,2017-07-12,10
1084,2017-07-11,5
1085,2017-07-10,6
1086,2017-07-09,10
1087,2017-07-08,5
1088,2017-07-07,14
1089,2017-07-06,7
1090,2017-07-05,13
1091,2017-07-04,5
1092,2017-07-03,11
1093,2017-07-02,11
1094,2017-07-01,7
1095,2017-06-30,7
1096,2017-06-29,13
1097,2017-06-28,10
1098,2017-06-27,19
1099,2017-06-26,10
1100,2017-06-25,10
1101,2017-06-24,11
1102,2017-06-23,14
1103,2017-06-22,10
1104,2017-06-21,12
1105,2017-06-20,11
1106,2017-06-19,14
1107,2017-06-18,8
1108,2017-06-17,10
1109,2017-06-16,7
1110,2017-06-15,6
1111,2017-06-14,8
1112,2017-06-13,19
1113,2017-06-12,13
1114,2017-06-11,15
1115,2017-06-10,11
1116,2017-06-09,5
1117,2017-06-08,10
1118,2017-06-07,7
1119,2017-06-06,12
1120,2017-06-05,10
1121,2017-06-04,10
1122,2017-06-03,7
1123,2017-06-02,6
1124,2017-06-01,12
1125,2017-05-31,7
1126,2017-05-30,7
1127,2017-05-29,14
1128,2017-05-28,11
1129,2017-05-27,4
1130,2017-05-26,11
1131,2017-05-25,10
1132,2017-05-24,9
1133,2017-05-23,9
1134,2017-05-22,12
1135,2017-05-21,14
1136,2017-05-20,7
1137,2017-05-19,8
1138,2017-05-18,10
1139,2017-05-17,6
1140,2017-05-16,12
1141,2017-05-15,5
1142,2017-05-14,7
1143,2017-05-13,8
1144,2017-05-12,10
1145,2017-05-11,11
1146,2017-05-10,14
1147,2017-05-09,8
1148,2017-05-08,8
1149,2017-05-07,15
1150,2017-05-06,7
1151,2017-05-05,11
1152,2017-05-04,7
1153,2017-05-03,8
1154,2017-05-02,17
1155,2017-05-01,10
1156,2017-04-30,8
1157,2017-04-29,10
1158,2017-04-28,6
1159,2017-04-27,9
1160,2017-04-26,11
1161,2017-04-25,7
1162,2017-04-24,10
1163,2017-04-23,4
1164,2017-04-22,10
1165,2017-04-21,15
1166,2017-04-20,12
1167,2017-04-19,10
1168,2017-04-18,5
1169,2017-04-17,9
1170,2017-04-16,9
1171,2017-04-15,12
1172,2017-04-14,13
1173,2017-04-13,10
1174,2017-04-12,9
1175,2017-04-11,2
1176,2017-04-10,9
1177,2017-04-09,9
1178,2017-04-08,13
1179,2017-04-07,12
1180,2017-04-06,3
1181,2017-04-05,16
1182,2017-04-04,14
1183,2017-04-03,10
1184,2017-04-02,15
1185,2017-04-01,5
1186,2017-03-31,17
1187,2017-03-30,7
1188,2017-03-29,12
1189,2017-03-28,10
1190,2017-03-27,8
1191,2017-03-26,9
1192,2017-03-25,6
1193,2017-03-24,7
1194,2017-03-23,8
1195,2017-03-22,9
1196,2017-03-21,9
1197,2017-03-20,9
1198,2017-03-19,9
1199,2017-03-18,10
1200,2017-03-17,6
1201,2017-03-16,11
1202,2017-03-15,6
1203,2017-03-14,5
1204,2017-03-13,9
1205,2017-03-12,4
1206,2017-03-11,6
1207,2017-03-10,4
1208,2017-03-09,9
1209,2017-03-08,5
1210,2017-03-07,5
1211,2017-03-06,5
1212,2017-03-05,10
1213,2017-03-04,6
1214,2017-03-03,11
1215,2017-03-02,5
1216,2017-03-01,11
1217,2017-02-28,7
1218,2017-02-27,7
1219,2017-02-26,10
1220,2017-02-25,8
1221,2017-02-24,7
1222,2017-02-23,6
1223,2017-02-22,16
1224,2017-02-21,11
1225,2017-02-20,8
1226,2017-02-19,9
1227,2017-02-18,7
1228,2017-02-17,4
1229,2017-02-16,12
1230,2017-02-15,12
1231,2017-02-14,5
1232,2017-02-13,8
1233,2017-02-12,8
1234,2017-02-11,10
1235,2017-02-10,4
1236,2017-02-09,6
1237,2017-02-08,7
1238,2017-02-07,6
1239,2017-02-06,8
1240,2017-02-05,14
1241,2017-02-04,7
1242,2017-02-03,10
1243,2017-02-02,5
1244,2017-02-01,8
1245,2017-01-31,10
1246,2017-01-30,6
